gratis	adj:free|adv:free
neocolonial	adj:neocolonial
frisia	n:Frisia
friburgo	n:Fribourg
rottweiler	n:Rottweiler
artroscopia	n:arthroscopy
huipil	n:huipil
linares	n:a surname
perorata	n:boring speech
hematocrito	n:hematocrit
vendedora	n:saleswoman
indefenso	adj:defenseless
automáticamente	adv:automatically
automática	n:automatization
remotamente	adv:remotely
insinuar	v:hint
jorge	n:cockchafer
pija	n:penis
dormida	n:sleep
roñoso	adj:mean
voyeurismo	n:voyeurism
colapsado	adj:collapsed
centralista	n:centralist
indias	n:Indies
viceministro	n:vice minister
brujas	n:Bruges
ciertos	?:certain, specific
guacho	n:orphan|adj:orphaned
incontinente	adj:incontinent
principesco	adj:princely
recalcitrante	adj:recalcitrant
revisionista	n:revisionist|adj:revisionist
brocheta	n:skewer
cacahuete	n:peanut
casaca	n:jacket
asistenta	n:maid
ejecutiva	n:board
doctorado	n:doctorate
cuartos	n:quarter finals
glóbulo	n:globule
lanzada	n:lance thrust
hamachi	n:hamachi
pasantía	n:internship
distrofia	n:dystrophy
sinapsis	n:synapse
pasatiempo	n:pastime
chusma	n:mob|adj:gossipy
cobijo	n:bedroom
gruesa	n:gross
erradicar	v:to eradicate
monedero	n:purse
indiferente	adj:indifferent
tendencias	n:trending
exorcismo	n:exorcism
historieta	n:anecdote
ramos	n:a surname
quemada	n:burnt side of a mountain
mágica	n:magic
cuántas	?:how many
ésto	?:misconstruction of éste
encantados	n:the game tunnel tag
atrapada	n:catch
ponerle	v:to have sex
añorar	v:to miss or yearn
insistentemente	adv:insistently
natatorio	adj:swimming
cazadora	n:bomber jacket
avanzada	n:outpost
desconocida	n:Jane Doe
escondidas	n:hide and seek
seguidora	n:follower
tedioso	adj:tedious
cuevas	n:a habitational surname
perras	n:money
anemómetro	n:anemometer
embustero	n:liar|adj:lying
presunción	n:presumption
travesura	n:mischief
toxina	n:toxin
eufemia	n:a female given name
erasmo	n:Erasmus
epicuro	n:Epicurus
eolo	n:Aeolus
egidio	n:a male given name
edipo	n:Oedipus
agredido	n:victim of an attack
prometida	n:fiancée
vientos	adv:synonym of bien
remedios	n:a female given name
miedoso	n:scaredy-cat|adj:fearful
suntuoso	adj:lavish
cuernos	adv:the hell
timba	n:timba
cantinas	n:saddlebag
sarta	n:string
dionisia	n:a female given name
dioniso	n:Dionysus
dionisio	n:a male given name
pederasta	n:pederast (man)
grafeno	n:graphene
requirente	adj:requesting
biturbo	adj:having twin turbochargers
cabrio	n:rafter
krasnodar	n:Krasnodar
revisor	n:reviser|adj:revising
cardio	n:cardio
complacido	adj:content
maquinar	v:to machinate
misiones	n:Misiones
clavija	n:dowel
nuboso	adj:cloudy
ocultación	n:occultation
movilidad	n:mobility
medición	n:measurement
laboral	adj:labor
brete	n:job
buscarla	n:grass warbler
jódete	?:fuck you!
paradas	n:stop
priapismo	n:priapism
botox	n:unadapted form of bótox
avispón	n:hornet
lonco	n:reticulum
amagar	v:to threaten
sinrazón	n:injustice
propagación	n:propagation
sochi	n:Sochi
lentisco	n:mastic
preadolescente	n:preadolescent|adj:preadolescent
picos	n:the Picos
enana	n:female dwarf
delantera	n:lead
chispas	v:only used in te chispas
redonda	n:neighbourhood
ingresos	n:income
tridentino	adj:Tridentine
ineludible	adj:unavoidable
cristales	n:a surname
distractor	n:distracter
cortada	n:The act of cutting.
damián	n:a male given name
anticapitalista	n:anticapitalist|adj:anticapitalist
bioterrorismo	n:bioterrorism
electra	n:Electra
telar	n:loom
vencedor	n:conquerer|adj:conquering
oftalmólogo	n:ophthalmologist
adelfa	n:oleander
eurozona	n:Eurozone
despreciativo	adj:scornful
petardo	n:firecracker
bohemia	n:bohemians collectively
alfileres	n:throatwort
francesas	n:French woman, girl|adj:French, of France
cumbia	n:cumbia
tonsura	n:tonsure
pebre	n:pepper
pilsen	n:beer
multipolar	adj:multipolar
rotatorio	adj:rotating
udinese	adj:of
vate	n:prophetic poet
vivificante	adj:vivifying
codirector	n:codirector
babilonia	n:Babylon (an ancient city
corredores	n:runner; broker
corredora	n:runner; broker
carnitas	n:carnitas
wagyu	n:wagyu
abjasio	n:Abkhaz person|adj:Abkhaz
abisinio	n:Abyssinian|adj:Abyssinian
semblante	n:countenance
maleza	n:underbrush
marbete	n:tag
papada	n:double chin
gabarra	n:barge
vellón	n:fleece
reprimenda	n:reprimand
colmenares	n:a surname
otero	n:knoll
oropel	n:tinsel
fragua	n:forge
gaceta	n:gazette
tafetán	n:taffeta
seto	n:fence
democratacristiano	adj:Christian Democrat
isidro	n:a male given name
ranchero	n:rancher
ranchera	n:ranchera
árido	adj:arid
volcánico	adj:volcanic
topógrafo	n:topographer
topografía	n:topography
agudizar	v:to sharpen
bachata	n:bachata
olivares	n:a surname
tumbona	n:lounger (chair)
pruna	n:plum
canas	n:a province of Cusco
evaluable	adj:evaluable
diablura	n:prank
multimodal	adj:multimodal
relicario	n:reliquary
sumario	n:summary|adj:summary
pupo	n:navel
agricultora	n:farmer
banquera	n:female banker
audífonos	n:headphones
mandarín	n:Mandarin
ártico	n:the Arctic|adj:Arctic
nogales	n:a municipality of Sonora
palomares	n:a surname
perales	n:a surname
copernicano	adj:Copernican
rodillo	n:roller
regionalista	n:regionalist|adj:regionalist
chimichurri	n:chimichurri
coeditor	n:coeditor
sarcoidosis	n:sarcoidosis
antidumping	adj:antidumping
milonga	n:milonga
desgarbado	adj:ungainly
cantora	n:urinal
bocón	n:bigmouth|adj:bigmouthed
keynesiano	adj:Keynesian
adverso	adj:adverse
krasnoyarsk	n:Krasnoyarsk
kursk	n:Kursk
militarismo	n:militarism
sexting	n:sexting
periplo	n:round trip
buenísimo	adj:very good
cantidades	adv:a lot
irrelevante	adj:irrelevant
inofensivo	adj:harmless
denostar	v:to insult
sínodo	n:synod
cogote	n:nape
bisagra	n:hinge
lebrel	n:hound
subregional	adj:subregional
sonero	n:sonero
antipático	adj:disagreeable
agra	n:Agra
valenciano	n:Valencian|adj:Valencian
pupilo	n:orphan
medioevo	n:Middle Ages
perceptor	n:recipient
desechable	adj:disposable
conmovedor	adj:moving
ricarda	n:a female given name
incorrecto	adj:wrong
irracional	adj:irrational
dardos	n:darts
cuyos	?:whose
cuyas	?:whose
cobija	n:blanket
smolensk	n:Smolensk
interprovincial	adj:interprovincial
dadaísmo	n:Dadaism
pasilla	n:pasilla
amiloide	n:amyloid|adj:amyloid
crono	n:time trial
revisable	adj:revisable
rejoneador	n:rejoneador
cubista	n:cubist|adj:cubist
freudiano	adj:Freudian
martinica	n:Martinique (an island
ricina	n:ricin
catastrofismo	n:catastrophism
galletita	n:small cookie, cracker
divinidad	n:divinity
solemnemente	adv:solemnly
solemne	adj:solemn
derramamiento	n:spillage
supresión	n:suppression
heladero	n:ice cream vendor
carita	n:little face
repartidor	n:distributor
parámetro	n:parameter
ultratumba	n:afterlife
salsera	n:mixing bowl
descubridor	n:discoverer|adj:discovering
bisabuela	n:great-grandmother
peluquera	n:female barber
pilates	n:pilates
piolet	n:piolet
gástrico	adj:gastric
blancura	n:whiteness
desordenado	adj:messy
dictadura	n:dictatorship
escote	n:neckline
esturión	n:sturgeon
esbelto	adj:slender
perspicacia	n:perspicacity
salsero	n:salsa musician|adj:salsa
emoji	n:emoji
pvp	n:retail price
maneta	n:lever
diplomática	n:diplomacy
antiabortista	n:antiabortionist|adj:antiabortion
racista	n:racist|adj:racist
pipí	n:urine
prevaricato	n:synonym of prevaricación
prostituto	n:prostitute
cambiador	n:changing table|adj:changing
calibración	n:calibration
atípico	adj:atypical
becario	n:grant-holder
monomarca	adj:single-brand
sebo	n:sebum
mofongo	n:mofongo
innegable	adj:undeniable
heroicamente	adv:heroically
prostitución	n:prostitution
imaginario	adj:imaginary
intravenosa	n:intravenous
intravenoso	adj:intravenous
radiotelegrafista	n:radio operator
espejismo	n:mirage
estimulante	n:stimulant|adj:stimulating
plástica	n:art
pasarlo	v:to enjoy
regionalismo	n:regionalism
patinador	n:skater|adj:skating
metafísico	n:metaphysician|adj:metaphysical
gruyere	n:gruyere
maizena	n:cornflour
tracio	n:Thracian|adj:Thracian
chimborazo	n:a province of Ecuador
tumultuoso	adj:tumultuous
ocio	n:leisure
puerperio	n:puerperium
parentesco	n:kinship
hacendado	n:landowner|adj:owner of an hacienda
amansar	v:to tame
sexta	n:sixth
pálida	n:depression
caducidad	n:expiry date
catálogo	n:catalog
cautivar	v:to take prisoner
agresivamente	adv:aggressively
dignas	v:only used in te dignas
digna	n:a female given name|v:only used in se digna
showrunner	n:showrunner
senderismo	n:trekking
jerusalén	n:Jerusalem
mesías	n:messiah
malagueta	n:tabasco pepper spice
roza	n:brushing
rozar	v:to clear or scrape land
patíbulo	n:gallows
atener	v:to keep up
boxístico	adj:boxing
chasis	n:chassis
suplente	n:substitute|adj:substitute
legítima	n:legitime
ostras	n:oyster|?:jeez
látigo	n:whip (pliant
microondas	n:microwave oven
plebiscitario	adj:plebiscitary
defensiva	n:defensive
defensivo	adj:defensive
rodante	adj:rolling
dadivoso	adj:generous
resbaloso	adj:slippery
voluntarioso	adj:willing
deseoso	adj:desirous
astutamente	adv:astutely
goleada	n:rout
vencida	n:victory
pulmonar	adj:pulmonary
incumbencia	n:incumbency
horca	n:gallows
pastura	n:pasture
tranquilamente	adv:calmly
cautivado	adj:captivated
cautivo	n:captive|adj:captive
alprazolam	n:alprazolam
navarro	n:Navarrese|adj:Navarrese
prono	adj:prone
catástrofe	n:catastrophe
virulento	adj:virulent
refrigerio	n:solace
heladera	n:ice cream maker
ríos	n:a surname
dársela	v:to make fun of
ventanilla	n:small window
acabada	n:cumshot (pornography)
boquete	n:gap
cercanías	n:commuter train
hereje	n:heretic|adj:heretic
matanzas	n:Matanzas
mítico	adj:mythic
desplazar	v:to move
lujuria	n:lust
puntual	adj:punctual
mención	n:mention
runrún	n:humming
desplazado	adj:out of place
despiadado	adj:merciless
histérico	adj:hysterical
iglesias	n:a surname
bancarrota	n:bankruptcy
defunción	n:decease
pedida	n:proposal
hule	n:natural rubber
reencarnación	n:reincarnation
espeluznante	adj:hair-raising
transición	n:transition
callejero	n:street map|adj:related to the streets
costera	n:coast
innecesario	adj:unnecessary
alcantarilla	n:sewer
peligrosidad	n:dangerousness
ojiva	n:ogive
lanzamisiles	n:rocket launcher
separatista	adj:breakaway
beligerante	adj:belligerent
pretensión	n:aspiration
improcedente	adj:inappropriate
confucio	n:Confucius
piquillo	n:piquillo
escarpe	n:A sabaton
bacteriólogo	n:bacteriologist
bacteriología	n:bacteriology
tedio	n:tedium
inmunología	n:immunology
antropomorfo	adj:anthropomorphic
escapatoria	n:escape
resentimiento	n:resentment
lusitano	n:Portuguese|adj:Portuguese
eficiente	adj:efficient
pubertad	n:puberty
moralidad	n:morality
localizador	n:localizer|adj:jurisdiction-selecting
constitucional	adj:constitutional
relevante	adj:significant
calificación	n:rating
kaluga	n:Kaluga
propositivo	adj:propositional
reincidente	n:recidivist|adj:recidivistic
tramposo	n:cheat|adj:deceitful
comprensible	adj:comprehensible
caparazón	n:caparison
argumental	adj:plot
sectorial	adj:sectorial
impredecible	adj:unpredictable
nutrición	n:nutrition
portón	n:gate
receso	n:recess
bachillerato	n:graduation certificate
reconfortante	adj:comforting
ocasionalmente	adv:occasionally
cachorrito	n:puppy
preliminar	adj:preliminary
preliminares	n:foreplay
existencialista	n:existentialist|adj:existentialist
admisión	n:admittance
mordisco	n:bite
inestabilidad	n:instability
disidente	n:dissident|adj:dissident
aferrar	v:to catch
intranquilo	adj:restless
diminuto	adj:minute
desmitificar	v:to demystify
disidencia	n:dissidence
desafiante	n:challenge|adj:defiant
razonamiento	n:reasoning
shura	n:shura
portuario	adj:port
desilusión	n:disillusion
bribón	n:rascal|adj:mischievous
vampirismo	n:vampirism
simpatía	n:sympathy
muchedumbre	n:crowd
franqueza	n:directness
apeo	n:felling
servilleta	n:napkin
sensualmente	adv:sensually
catabolismo	n:catabolism
mamey	n:the mamey or mammee apple
anexionar	v:to annex
meteorológico	adj:meteorologic
apropiadamente	adv:appropriately
propulsión	n:propulsion
hipertensión	n:hypertension
distinción	n:distinction
citocromo	n:cytochrome
coenzima	n:coenzyme
competitivamente	adv:competitively
catalizar	v:to catalyze
sustrato	n:substratum
mediados	adv:in the middle
enzimático	adj:enzymatic
selectivo	adj:selective
sintetizar	v:to synthesize
síntesis	n:synthesis
génico	adj:genic
sustancialmente	adv:substantially
inhibidor	n:inhibitor
inflorescencia	n:inflorescence
activador	n:activator|adj:activating
fármaco	n:medicine
fisicoquímica	n:physical chemistry
comercialmente	adv:commercially
doméstico	adj:domestic
doméstica	n:maid
ampliamente	adv:widely
biocombustible	n:biofuel
fermentación	n:fermentation
inapropiado	adj:inappropriate
putrefacción	n:putrefaction
fisiólogo	n:physiologist
polimerasa	n:polymerase
catálisis	n:catalysis
cristalizar	v:to adorn with crystals
catalasa	n:catalase
tripsina	n:trypsin
cristalografía	n:crystallography
difracción	n:diffraction
estructural	adj:structural
carbónico	adj:carbonic
monómero	n:monomer
levonorgestrel	n:levonorgestrel
despótico	adj:despotic
trébol	n:clover
tréboles	n:clubs
adimensional	adj:adimensional
retroalimentación	n:feedback
realimentación	n:electrical feedback
plegar	v:to fold
terciario	n:Tertiary|adj:tertiary
anodino	adj:anodyne
cuaternario	n:Quaternary|adj:quaternary
compuesta	n:a composite
especificidad	n:specificity
chon	n:underpants
prófugo	n:a fugitive
selectividad	n:selectivity
replicación	n:replication
comprobación	n:check
centralmente	adv:centrally
acreedor	n:creditor
transatlántico	n:ocean liner|adj:transatlantic
multiplicador	n:multiplier|adj:multiplying
sintetasa	n:synthetase
biosíntesis	n:biosynthesis
futurista	n:futurist|adj:futuristic
orbitar	v:to orbit
legalista	n:legalist
lindano	n:lindane
localismo	n:localism
paneuropeo	adj:Pan-European
cerbero	n:Cerberus
cecilio	n:a male given name
petulante	n:poser|adj:posing
ordenada	n:ordinate
temporalmente	adv:temporarily
estafador	n:conman
crucifijo	n:crucifix
sinceridad	n:sincerity
estudiantil	adj:related to students
superagente	n:superagent
aguadas	n:Aguadas
pliego	n:sheet
pliegue	n:a fold or crease
lignina	n:lignin
metotrexato	n:methotrexate
miosina	n:myosin
comprobante	n:receipt
tegumento	n:integument
despectivo	adj:pejorative
revelación	n:revelation
putativo	adj:putative
discográfico	adj:discographical
intrusión	n:intrusion
estatus	n:status
apelación	n:appeal
pretexto	n:pretext
incontable	adj:uncountable
súplica	n:plea
fusilamiento	n:execution
cotidiano	adj:daily
certidumbre	n:certainty
resplandor	n:radiance
cansancio	n:tiredness
cucharón	n:ladle
madurez	n:maturity
talego	n:sack
lagartija	n:a small lizard
lagartijas	n:push-up
tosferina	n:whooping cough
tropel	n:mob
sincretismo	n:syncretism
imperfección	n:imperfection
lipasa	n:lipase
amilasa	n:amylase
pomposo	adj:pompous
pomposamente	adv:pompously
utilitarista	n:utilitarian|adj:utilitarian
zootecnia	n:zootechnics
lucidez	n:lucidity
mortaja	n:shroud
plantación	n:plantation
sofocante	adj:suffocating
rebanada	n:slice
hermafrodita	n:hermaphrodite|adj:hermaphrodite
cotillón	n:party
fascinación	n:fascination
pormenores	n:circumstances
francófono	n:Francophone|adj:Francophone
desordenar	v:to mess up
tecnológicamente	adv:technologically
embriagador	adj:intoxicating
degradación	n:degradation
acoplamiento	n:joining
marítimo	adj:maritime
meditación	n:meditation
algarabía	n:hubbub
regato	n:brook
masilla	n:caulk
providencial	adj:providential
gacela	n:gazelle
morfogénesis	n:morphogenesis
patogenia	n:pathogenesis
dinámico	adj:dynamic
dinámica	n:dynamic
explicativo	adj:explanatory
independientemente	adv:independently
histología	n:histology
ontogenia	n:ontogeny
etología	n:ethology
sistemático	adj:systematic
sistemática	n:systematics
magnitud	n:magnitude
sacudida	n:jolt
tectónico	adj:tectonic
tectónica	n:tectonics
desprendimiento	n:loosening
hundimiento	n:sinking
reorganización	n:reorganization
reorganizar	v:to reorganize
elástico	adj:elastic
deformación	n:deformation
atmosférico	adj:atmospheric
endeudamiento	n:indebtedness
biomedicina	n:biomedicine
sismógrafo	n:seismograph
íntimamente	adv:intimately
geológico	adj:geologic
geológicamente	adv:geologically
desencadenamiento	n:triggering
sísmico	adj:seismic
intensificación	n:intensification
intersticial	adj:interstitial
desechos	n:jetsam
perpendicularmente	adv:perpendicularly
hipocentro	n:hypocentre
primarias	n:first round of elections
contabilidad	n:accountancy
recopilación	n:summary
experimentación	n:experimentation
metodológico	adj:methodological
sistematizar	v:to systematize
metódicamente	adv:methodically
pegada	n:punch
obsesivo	adj:obsessive
arete	n:earring
citosina	n:cytosine
colchicina	n:colchicine
cuantitativo	adj:quantitative
comprobable	adj:provable
molinillo	n:pepper mill
servia	n:Servia
consecutivamente	adv:consecutively
fronterizo	adj:border
frialdad	n:frigidity
letrina	n:latrine
lavamanos	n:sink
langostino	n:prawn
lujoso	adj:luxurious
longaniza	n:pork sausage
liviano	n:lung|adj:light
levantamiento	n:lifting
refrán	n:proverb
renacer	v:to be reborn
aterrorizar	v:to terrify
fechado	adj:dated
fecho	n:fact, deed
instantáneamente	adv:instantaneously
instantánea	n:snapshot
maternidad	n:motherhood
autoestima	n:self-esteem
condolencia	n:condolence
gateo	n:crawling
pésame	n:condolence
papeleta	n:sheet of paper
solemnidad	n:solemnity
complicidad	n:complicity
travesía	n:traverse
deslumbrante	adj:dazzling
temeridad	n:temerity
extraviar	v:to go astray
atormentar	v:to torment
bautismo	n:baptism
extraviado	adj:out of the way
extravío	n:misplacement
descomunal	adj:extraordinary
serenidad	n:serenity
costurero	n:sewing box
rosal	n:rosebush
evocar	v:to evoke
deseable	adj:desirable
clonación	n:cloning
implicación	n:implication
divulgación	n:disclosure
divulgar	v:to divulge
tambov	n:Tambov
picada	n:peck
espadachín	n:swordsman
pelirrojo	n:redhead|adj:redheaded
pegajoso	adj:tacky
animador	n:presenter
guantera	n:glover
fenotipo	n:phenotype
interfase	n:interphase|adj:interphase
catre	n:cot
innombrable	adj:unmentionable
interdependiente	adj:interdependent
astrobiología	n:astrobiology
micología	n:mycology
embriología	n:embryology
microbiología	n:microbiology
acrobacia	n:acrobatics
taxonómico	adj:taxonomic
filogenia	n:phylogenetics
acrobático	adj:acrobatic
locomoción	n:locomotion
perspicaz	adj:perceptive
herbáceo	adj:herbaceous
insaciable	adj:insatiable
oxidación	n:oxidation
reductor	n:reducing agent|adj:reductive
oxidante	n:oxidizing agent|adj:oxidizing
navideño	adj:related to Christmas
predecible	adj:predictable
trifosfato	n:triphosphate
biotecnológica	n:biotechnology
leucopenia	n:leukopenia
virología	n:virology
citología	n:cytology
epistemológico	adj:epistemological
epistemología	n:epistemology
filosófico	adj:philosophical
entomología	n:entomology
ornitología	n:ornithology
hidrogeología	n:hydrogeology
acuñación	n:coinage
inmutable	adj:immutable
historicismo	n:historicism
metafórico	adj:metaphorical
sinécdoque	n:synecdoche
semántico	adj:semantic
psicoterapeuta	n:psychotherapist
decrepitud	n:decrepitude
párpado	n:eyelid
tesorero	n:treasurer
paleta	n:trowel
kantiano	adj:Kantian
activamente	adv:actively
antidopaje	adj:antidoping
alegación	n:allegation
andrógino	n:androgyne|adj:androgynous
asiduo	adj:assiduous
pretoriano	adj:Praetorian
arrogantemente	adv:arrogantly
universalidad	n:universality
continuidad	n:continuity
esquemático	adj:schematic
hereditario	adj:hereditary
semejanza	n:likeness
llamativa	n:flamboyant
conceptualizar	v:to conceptualize
maite	n:a female given name
coleta	n:ponytail
lóbrego	adj:dark
cuadrilla	n:crew
banderillero	n:lackey
banderilla	n:banderilla
prestamista	n:moneylender
maledicencia	n:gossip
fraguar	v:to set
majadero	n:fool
subsahariano	adj:sub-Saharan
apendicitis	n:appendicitis
farmacológico	adj:pharmacological
ingestión	n:ingestion
desenlace	n:outcome
hospitalario	adj:hospital
homónimo	n:homonym|adj:homonymous
humanizar	v:to humanize
mondongo	n:tripe
mazorca	n:cob
manso	n:bellwether|adj:tame
pompis	n:butt
prótesis	n:prosthesis
millaje	n:mileage
kilometraje	n:kilometrage
metraje	n:the duration of a film
cádiz	n:Cadiz
intercensal	adj:intercensal
pecera	n:fish tank
sarcástico	adj:sarcastic
creyente	adj:believing
transfusión	n:transfusion
voluntariamente	adv:voluntarily
rosquilla	n:doughnut
sanidad	n:health
humildad	n:humility
negligencia	n:negligence
inversionista	n:investor
clavícula	n:collarbone
tintorería	n:dry cleaner's
pudú	n:pudu
terminología	n:terminology
empírico	n:empiricist|adj:empirical
empíricamente	adv:empirically
cromosómico	adj:chromosomal
cromático	adj:chromatic
difuso	adj:diffuse
funcionalmente	adv:functionally
constituyente	n:constituent|adj:constituent
metabólico	adj:metabolic
genealógico	adj:genealogical
genealogía	n:genealogy
secuenciar	v:to sequence
estupendamente	adv:stupendously
estupor	n:stupor
chiba	n:Chiba
redescubrimiento	n:rediscovery
astrología	n:astrology
astrólogo	n:astrologer
pseudociencia	n:pseudoscience
precolombino	adj:pre-Columbian
babilónico	adj:Babylonic
prehistórico	adj:prehistoric
multidisciplinario	adj:multidisciplinary
orogenia	n:orogeny
brida	n:bridle
avaricioso	adj:avaricious
bidón	n:drum
desertor	n:deserter|adj:deserting
cajuela	n:trunk
antaño	n:the distant past|adv:in the past
prometedor	adj:promising
coña	n:joking
inseguro	adj:unsure
chupada	n:blowjob
higiene	n:hygiene
mazo	n:hammer|adv:heaps
flotante	adj:floating
águilas	n:a municipality of Murcia
compa	n:buddy
microbus	n:microbus
neuropsiquiatría	n:neuropsychiatry
cibernético	adj:cybernetic
cibernética	n:cybernetics
instituir	v:to found
reduccionismo	n:reductionism
preoperatorio	adj:preoperative
hepatomegalia	n:hepatomegaly
metodología	n:methodology
cánido	n:canine|adj:canine
multidisciplinar	adj:multidisciplinary
colocolo	n:colocolo
disfuncional	adj:dysfunctional
disonancia	n:dissonance
intervalo	n:interval
paracaidista	n:parachutist
orgía	n:orgy
apéndice	n:appendix
momia	n:mummy
invención	n:invention
perrera	n:dog pound (US)
inválido	adj:invalid
ilion	n:ilium
redención	n:redemption
fogón	n:fireplace
providencia	n:providence
narcisa	n:a female given name
cariñosa	n:prostitute
desequilibrio	n:imbalance
centrismo	n:centrism
páramo	n:wasteland
inconcebible	adj:inconceivable
restablecer	v:to recover
concienciar	v:to make someone aware
malicia	n:malice
culminación	n:climax
meticulosamente	adv:meticulously
objetor	n:objector
místico	n:mystic|adj:mystical
mística	n:mystic
efectividad	n:effectiveness
topología	n:topology
comúnmente	adv:commonly
computación	n:computation
numérico	adj:numeric
himnario	n:hymnal
morcilla	n:morcilla
microcosmos	n:microcosmos
abdías	n:Obadiah
marabunta	n:swarm
maracaibo	n:Maracaibo
humorismo	n:humor
relevancia	n:relevance
extensivo	adj:extensive
concreción	n:concretion
inferencia	n:inference
congruente	adj:congruent
irrestricto	adj:unrestricted
repensar	v:to rethink
irrepetible	adj:extraordinary
anticristiano	adj:anti-Christian
inalterable	adj:inalterable
maldonado	n:a Spanish surname
repetible	adj:repeatable
vulcanología	n:volcanology
contrastación	n:contrasting
refutación	n:refutation
planteamiento	n:approach
implícito	adj:implicit
deducción	n:deduction
escrutinio	n:scrutiny
científicamente	adv:scientifically
corroboración	n:corroboration
mercadería	n:item of merchandise
mercancías	n:freight train
semipermanente	adj:semipermanent
reproducibilidad	n:reproducibility
hipotético	adj:hypothetical
formalizar	v:to finalize
contraposición	n:contraposition
equivocadamente	adv:mistakenly
genómico	adj:genomic
genómica	n:genomics
paleontológico	adj:paleontological
paleontología	n:paleontology
filogenético	adj:phylogenetic
biólogo	n:biologist
considerarse	v:to consider, to esteem
globulina	n:globulin
bonapartista	n:Bonapartist|adj:Bonapartist
gouda	n:gouda
poli-	?:poly-
charleston	n:Charleston
circuncidar	v:to circumcise
ciclosporina	n:ciclosporin
microscopia	n:microscopy
youtube	n:YouTube
policarbonato	n:polycarbonate
policitemia	n:polycythemia
poliedro	n:polyhedron
garantista	n:with guarantees|adj:with guarantees
engullir	v:to wolf
diedro	n:dihedral|adj:dihedral
monoteísmo	n:monotheism
traslación	n:translation
azerbaiyán	n:Azerbaijan
tisular	adj:tissue
macroscópico	adj:macroscopic
microscópico	adj:microscopic
botánico	n:botanist|adj:botanical
anatómico	adj:anatomical
captación	n:capture
mieloma	n:myeloma
resiliente	adj:resilient
subproducto	n:byproduct
forraje	n:forage
alimentario	adj:alimentary
trófico	adj:trophic
beneficioso	adj:beneficial
etnobotánica	n:ethnobotany
descubierta	n:reconnoitring
saltarín	n:Prancer|adj:jumping
salicílico	adj:salicylic
morera	n:white mulberry
indonesio	n:Indonesian|adj:Indonesian
piridina	n:pyridine
-filia	?:-philia
portafolio	n:a portfolio
portafolios	n:a portfolio
rubí	n:ruby
biomasa	n:biomass
renovable	adj:renewable
ambiental	adj:environmental
hábitat	n:habitat
fenología	n:phenology
liquen	n:lichen
recreativo	adj:recreational
recreación	n:recreation
horticultura	n:horticulture
horticultor	n:horticulturist
alimenticio	adj:alimentary
levantino	adj:Levantine
metacrilato	n:methacrylate
bidimensional	adj:two-dimensional
tomador	n:taker
aposta	adv:on purpose
dogmático	adj:dogmatic
anilina	n:aniline
polimorfo	n:polymorph|adj:polymorphous
anchoa	n:anchovy
poliuretano	n:polyurethane
radialmente	adv:radially
quipo	n:quipu
tórtola	n:turtle dove
incurso	adj:involved
disfagia	n:dysphagia
estratagema	n:stratagem
desenterrar	v:to dig up
dentadura	n:teeth
superstición	n:superstition
marrakech	n:Marrakech
chiche	n:breast|adj:easy
chicho	n:a roll of stomach fat
antropocentrismo	n:anthropocentrism
presumiblemente	adv:presumably
presumible	adj:presumable
fitopatología	n:phytopathology
agronomía	n:agronomy
descriptivo	adj:descriptive
bergamota	n:bergamot
desempleado	n:unemployed|adj:unemployed
crepúsculo	n:twilight
incompetencia	n:incompetence
landas	n:Landes
blenda	n:blende
iglú	n:igloo
robles	n:a surname
linfoma	n:lymphoma
censitario	adj:census
leninismo	n:Leninism
leninista	n:Leninist|adj:Leninist
anexión	n:annexation
kurdo	n:Kurd|adj:Kurdish
monetarista	n:monetarist|adj:monetarist
extensivamente	adv:extensively
multiplicación	n:multiplication
marxista-leninista	n:Marxist-Leninist|adj:Marxist-Leninist
marxismo-leninismo	n:Marxism-Leninism
obediente	adj:obedient
cruasán	n:croissant
neoplatonismo	n:Neoplatonism
doña	n:lady of the house
arcángel	n:archangel
simultáneo	adj:simultaneous
simultaneidad	n:simultaneity
forrajero	adj:forage
pitagórico	n:Pythagorean|adj:Pythagorean
extensamente	adv:extensively
emparentar	v:to become related
exhaustivo	adj:exhaustive
clasificatorio	adj:classificatory
prosaico	adj:prosaic
libanés	n:Lebanese|adj:Lebanese
acidez	n:acidity
adaptación	n:adaptation
amortizar	v:to amortize
apatía	n:apathy
regionalmente	adv:regionally
tardo-	?:late
copiloto	n:copilot
inhumano	adj:inhuman
trombonista	n:trombonist
visir	n:vizier
-fobia	?:-phobia
agreste	adj:rustic
másico	adj:mass
fenomenológico	adj:phenomenological
fenomenología	n:phenomenology
fértil	adj:fertile
converger	v:to converge
agenesia	n:agenesis
anglófono	adj:Anglophone
manés	n:Manxman|adj:Manx
chungo	n:indisposition|adj:crappy
chunga	n:crazy or wild party
antropólogo	n:anthropologist
tolerante	adj:tolerant
interregional	adj:interregional
estocástico	adj:random
psicosis	n:psychosis
catalejo	n:spyglass
belgrado	n:Belgrade
laicista	adj:lay
manilla	n:handle
agrios	n:citric fruits
meato	n:meatus
ascensión	n:a female given name
encarnación	n:a female given name
purificación	n:a female given name
normativamente	adv:normatively
consolidación	n:consolidation
completitud	n:completion
duplicar	v:to double
cajeta	n:cunt
ordinariamente	adv:ordinarily
surfactante	n:surfactant|adj:surfactant
experimentalmente	adv:experimentally
termodinámico	adj:thermodynamic
termodinámica	n:thermodynamics
