's	?:ин
ironwort	?:желе́зница
irony	?:ирония
iroquois	?:ироке́зы
irpin	?:Ирпе́нь
irradiation	?:блеск
irrational	?:иррациона́льный
irrationalism	?:иррационали́зм
irrawaddy	?:Ирава́ди
irreconcilable	?:непримири́мый
irredentism	?:ирреденти́зм
irredentist	?:ирреденти́стский
irrefragable	?:бесспо́рный
irrefutable	?:бесспо́рный
irregular	?:неправильный
irregularity	?:непра́вильность
irregularly	?:беспорядочно
irrelevant	?:нева́жный
irreligion	?:нерелигио́зность
irremediable	?:непоправи́мый
irreparable	?:невосстанови́мый
irreplaceability	?:незамени́мость
irreplaceable	?:незамени́мый
irrepressible	?:неудержи́мый
irreproachable	?:безукори́зненный
irresistible	?:неотрази́мый
irresponsibility	?:безответственность
irresponsible	?:безответственный
irresponsibly	?:безответственно
irreverent	?:непочти́тельный
irreversibility	?:необрати́мость
irreversible	?:необратимый
irreversibly	?:бесповоротно
irrevocable	?:необратимый
irrigate	?:ирриги́ровать
irrigation	?:иррига́ция
irrigational	?:ирригационный
irritability	?:раздражи́тельность
irritable	?:раздражительный
irritant	?:раздража́ющий
irritate	?:злить
irritated	?:раздражённый
irritating	?:раздража́ющий
irritation	?:возбужде́ние
irrumation	?:иррума́ция
irshava	?:Ирша́ва
irtysh	?:Иртыш
isaac	?:Иса́к
isabel	?:Изабе́лла
isaiah	?:Исайя
isapostolic	?:равноапостольный
isapostolicity	?:равноапо́стольность
isatin	?:изатин
isauria	?:Исаврия
iscariot	?:искарио́т
ischemia	?:ишеми́я
ischemic	?:ишеми́ческий
ischiatic	?:ишиа́сный
ischium	?:седа́лищная кость
ischury	?:ишурия
isekai	?:исекайнуться
isfahan	?:Исфаха́н
isfana	?:Исфана
ish	?:ский
isha	?:иша́
ishan	?:иша́н
ishikawa	?:Исика́ва
ishim	?:Иши́м
ishmael	?:Измаи́л
isidora	?:Исидо́ра
isidore	?:Си́дор
isinglass	?:ры́бий клей
isis	?:ИГ
iskandar	?:Искандер
iskenderun	?:Искендеру́н
islam	?:ислам
islamabad	?:Исламабад
islamic	?:исламский
islamism	?:ислами́зм
islamist	?:ислами́стский
islamistic	?:исламистский
islamization	?:исламиза́ция
islamize	?:исламизировать
islamophobia	?:исламофо́бия
island	?:остров
islander	?:островитя́нин
islet	?:островок
ism	?:изм
ismaili	?:исмаили́т
isoalkane	?:ѝзоалка́н
isobar	?:изоба́ра
isobath	?:изоба́та
isobutane	?:изобута́н
isochore	?:изохо́ра
isochrony	?:изохрония
isocline	?:изоклина́ль
isoenergetic	?:изоэнергети́ческий
isogamy	?:изога́мия
isogloss	?:изогло́сса
isohyet	?:изогиета
isohypse	?:изоги́пса
isolate	?:изоля́т
isolated	?:изоли́рованный
isolation	?:затво́рничество
isolationism	?:изоляциони́зм
isolationist	?:изоляциони́ст
isoleucine	?:изолейцин
isomer	?:изомер
isomeric	?:изоме́рный
isomerism	?:изомери́я
isometric	?:изометри́ческий
isomorphic	?:изомо́рфный
isomorphism	?:изоморфизм
ison	?:исон
isonade	?:Исонадэ
isonomia	?:изономия
isopod	?:изопо́д
isoprene	?:изопре́н
isosceles	?:равнобедренный
isotherm	?:изоте́рма
isothermic	?:изотерми́ческий
isotonic	?:изотони́ческий
isotope	?:изотоп
isotropic	?:изотро́пный
isotropy	?:изотро́пность
isp	?:интерне́т-прова́йдер
ispir	?:Испи́р
ispravnic	?:испра́вник
israel	?:Израиль
israeli	?:израильский
iss	?:МКС
issid	?:исси́да
issuance	?:вы́дача
issue	?:пункт
issus	?:Исс
ist	?:ист
istanbul	?:Стамбу́л
istanbulite	?:стамбульский
isthmus	?:перешеек
istria	?:Истрия
istrian	?:истрийский
istriot	?:[[истрио́тский]] [[язы́к]]
istro-romanian	?:истрорумынский язы́к
it	?:он
itabashi	?:Итаба́си
italian	?:итальянский
italianism	?:итальяни́зм
italianization	?:итальяниза́ция
italianize	?:итальянизи́ровать
italianness	?:италья́нскость
italic	?:курси́вный
italo-	?:ита́ло-
italophile	?:италофи́л
italophone	?:италоговоря́щий
italy	?:Италия
itanagar	?:Итанага́р
itch	?:зуд
itchy	?:чесаться
ite	?:ист
item	?:пара
iteration	?:итерация
iterative	?:итерати́вный
ithaca	?:Итака
ithyphallic	?:итифалли́ческий
itinerant	?:скитаться
itinerary	?:маршру́т
itis	?:и́т
itokawa	?:Итока́ва
its	?:её
itself	?:-ся
ity	?:ство
iucn	?:МСОП
iulianov	?:Иулианов
iuliyanov	?:Иулия́нов
ivan	?:Ива́н
ivanhoe	?:Айвенго
ivanishvili	?:Иванишви́ли
ivankiv	?:Ива́нков
ivano-frankivsk	?:Ива́но-Франко́вск
ivanovich	?:Ива́нович
ivanovna	?:Ива́новна
ivanovo	?:Иваново
ive	?:и́вный
ivf	?:ЭКО
ivor	?:И́горь
ivorian	?:ко̀т-дивуа́рский
ivory	?:слоновая кость
ivrit	?:иври́т
ivy	?:плющ
iwate	?:Ива́те
ixion	?:Иксион
ixmiquilpan	?:Исмикильпан
ixodid	?:иксоди́да
izakaya	?:идзака́я
izanagi	?:Идзана́ги
izanami	?:Идзана́ми
ization	?:иза́ция
izba	?:изба́
ize	?:изи́ровать
izeh	?:Изе
izhevsk	?:Ижевск
izhitsa	?:и́жица
iziaslav	?:Изя́слав
izium	?:Изю́м
izmail	?:Измаи́л
izmir	?:Изми́р
j	?:(card games) Abbreviation
j-drama	?:дора́ма
j-pop	?:джей-по́п
jab	?:ткнуть
jabalpur	?:Джабалпу́р
jabber	?:болта́ть
jabberwock	?:Бармаглот
jabberwocky	?:Бармагло́т
jabiru	?:яби́ру
jablunkov	?:Яблунков
jabot	?:жабо
jabrayil	?:Джебраи́л
jacana	?:яка́на
jacaranda	?:якара́нда
jacinth	?:гиаци́нт
jack	?:мама
jack-in-the-box	?:чёрт из табаке́рки
jack-in-the-pulpit	?:аризе́ма
jack-knife	?:складно́й нож
jack-o'-lantern	?:Светильник Джек
jackal	?:шакал
jackass	?:осёл
jackdaw	?:галка
jacket	?:пиджак
jackfruit	?:джекфру́т
jackhammer	?:отбо́йный молото́к
jackpot	?:куш
jackrabbit	?:за́яц
jacksnipe	?:гаршнеп
jackson	?:Дже́ксон
jacob	?:Иа́ков
jacquerie	?:жакери́я
jacuzzi	?:джаку́зи
jade	?:жад
jaded	?:изму́ченный
jadeite	?:жадеи́т
jaeger	?:е́герь
jaffa	?:Я́ффа
jaffna	?:Джа́фна
jag	?:кутёж
jagged	?:зазу́бренный
jaggery	?:са́хар-сыре́ц
jaguar	?:ягуар
jaguarundi	?:ягуару́нди
jahannam	?:джаха́ннам
jahukyan	?:Джаукя́н
jail	?:тюрьма
jailbait	?:лоли́та
jailbird	?:заключённый
jailbreak	?:побег
jailer	?:тюре́мщик
jainism	?:джайнизм
jaipur	?:Джайпу́р
jair	?:Иаи́р
jaiswal	?:джайсвал
jakarta	?:Джакарта
jakartan	?:джака́ртский
jake	?:Я́ша
jalainur	?:Чжалайно́р
jalal-abad	?:Джалал-Абад
jalalabad	?:Джелалаба́д
jalandhar	?:Джаландха́р
jalapeño	?:халапе́ньо
jalebi	?:джале́би
jalopy	?:драндуле́т
jalousie	?:жалюзи́
jam	?:джем
jamahiriya	?:джамахири́я
jamaica	?:Ямайка
jamaican	?:ямайский
jamal	?:Джама́л
jamb	?:кося́к
jambalaya	?:джамбала́йя
jamboree	?:джамбори
jambul	?:джамбола́н
james	?:Джеймс
jamestown	?:Дже́ймстаун
jamila	?:Джамиля́
jammu	?:Джа́мму
jammy	?:удачливый
jamo	?:нассо́ри
jamon	?:хамо́н
jane	?:Джейн
janggi	?:чанги́
janissary	?:янычар
janitor	?:вахтёр
jankoy	?:Джанко́й
january	?:январь
janus	?:Янус
jap	?:яп
japan	?:Япония
japanese	?:японский
japaneseness	?:япо́нскость
japanification	?:япониза́ция
japanophile	?:японофи́л
japanophilia	?:японофи́лия
japanophobia	?:японофо́бия
japanophone	?:японоговоря́щий
japheth	?:Иафе́т
japonic	?:[[японский|япо́но-]][[Рюкю|рюкю́ские]] языки́
jar	?:ба́нка
jared	?:Иаред
jargon	?:жаргон
jargoon	?:жарго́н
jarl	?:ярл
jarring	?:раздражающий
jasmine	?:жасмин
jason	?:Ясо́н
jasper	?:яшма
jassy	?:Я́ссы
jataka	?:джа́таки
jatec	?:(military) Acronym of
jaundice	?:желтуха
jaunt	?:ката́ться
jauntily	?:самоуверенно
jauntiness	?:грацио́зность
jaunty	?:самоуверенный
java	?:Ява
javan	?:ява́нский
javanese	?:ява́нец
javel	?:Жаве́ль
javelin	?:копьё
jaw	?:челюсть
jawan	?:солда́т
jawbone	?:че́люсть
jawi	?:джа́ви
jay	?:джей
jaywalk	?:[[зева́ть]] по [[сторона|сторона́м]]
jaywalker	?:[[неосторо́жный]] [[пешехо́д]]
jazz	?:джаз
jcuken	?:ЙЦУКЕН
jealous	?:ревнивый
jealousy	?:ревность
jeans	?:джинсы
jeddah	?:Джи́дда
jedi	?:дже́дай
jediism	?:джедаи́зм
jeep	?:джип
jeer	?:глумле́ние
jefferson	?:Дже́фферсон
jehoshaphat	?:Иосафа́т
jehovah	?:Иегова
jeju	?:Чеджу́
jeju-do	?:Чеджу-до́
jejunum	?:то́щая кишка́
jelgava	?:Елгава
jelly	?:желе́
jellyfish	?:медуза
jena	?:Йена
jennifer	?:Дже́ннифер
jenny	?:Дже́нни
jeon	?:чон
jeopardize	?:[[подве́ргнуть]] [[опасность|опа́сности]]
jeopardy	?:риск
jephthah	?:Иеффай
jequirity	?:чёточник
jerboa	?:тушка́нчик
jereed	?:джири́т
jeremiad	?:Иеремиа́да
jeremiah	?:Иеремия
jericho	?:Иерихон
jerk	?:тик
jerkwater	?:ма́ленький
jerky	?:отры́вистый
jeroboam	?:Иеровоам
jerome	?:Иероним
jerrycan	?:канистра
jersey	?:Дже́рси
jerusalem	?:Иерусалим
jerusalemite	?:иерусали́мский
jesolo	?:Йе́золо
jesse	?:Иессе́й
jessica	?:Дже́ссика
jest	?:насме́шка
jester	?:остря́к
jesuit	?:иезуи́т
jesuitic	?:иезуи́тский
jesus	?:Иисус
jet	?:джет
jethro	?:Иофо̀р
jettison	?:сброс
jetty	?:мол
jew	?:жид
jewbush	?:педилантус
jewel	?:самоцве́т
jeweler	?:ювели́р
jeweller's	?:ювели́рный магази́н
jewellery	?:бижуте́рия
jewess	?:евре́йка
jewish	?:евре́йский
jewishness	?:евре́йскость
jewry	?:еврей
jewsrael	?:Евра́иль
jezebel	?:Иезавель
jezkazgan	?:Жезказга́н
jezve	?:джезва
jharkhand	?:Джаркха́нд
jiamusi	?:Цзямусы́
jiangmen	?:Цзянмэ́нь
jiangshi	?:цзянши
jiangsu	?:Цзянсу́
jiangxi	?:Цзянси́
jianzhi	?:цзяньчжи́
jiao	?:цзя́о
jiaozi	?:гёдза
jib	?:арта́читься
jibe	?:упрёк
jicarilla	?:хикари́йя апа́чи
jieyang	?:Цзея́н
jiff	?:миг
jiffy	?:один момент
jig	?:конду́ктор
jiggery-pokery	?:надувательство
jiggle	?:трясти́
jigsaw	?:ло́бзик
jihad	?:джихад
jihadist	?:басма́ч
jilin	?:Гири́н
jilt	?:изме́нница
jim	?:Джим
jimmy	?:Джимми
jimsonweed	?:дурма́н
jinan	?:Цзина́нь
jingle	?:звон
jingoism	?:джингои́зм
jingoist	?:джингои́стский
jining	?:Цзини́н
jinn	?:джинн
jinx	?:ве́дьма
jitter	?:дрожание
jittery	?:дёрганый
jizya	?:джи́зья
jizz	?:молофья́
jizzakh	?:Джиза́к
jjigae	?:чиге́
jlpt	?:JLPT
joab	?:Иоа́в
joachim	?:Иоахим
joachimsthaler	?:ефи́мок
joanna	?:Джоа́нна
job	?:Иов
jobseeker	?:[[искать|и́щущий]] [[работа|рабо́ту]]
joburg	?:Йобург, Йоха́ннесбург
jocasta	?:Иока́ста
jockey	?:жокей
jockstrap	?:суспензо́рий
jocular	?:шу́точный
jocund	?:весёлый
jodhpur	?:Джодхпу́р
jodhpurs	?:рейту́зы
joe	?:Джо
joel	?:Джо́эл
joensuu	?:Йо́энсуу
joey	?:кенгурёнок
jog	?:джо́ггинг
jogging	?:бег
joha	?:Джо́ха
johannesburg	?:Йоханнесбург
john	?:Джон
johnboat	?:джо́нбот
johnny	?:Ва́ня
johnson	?:Джо́нсон
johor	?:Джохо́р
join	?:стык
joiner	?:древоде́л
joinery	?:мебельная фабрика
joint	?:дом
jointly	?:вме́сте
joke	?:шутка
joker	?:джокер
jollytail	?:пятни́стая гала́ксия
jolt	?:шок
jonah	?:Иона
jonathan	?:Ионафан
jonava	?:Ионава́
jones	?:Джонс
jonquil	?:жонки́лия
jordan	?:Иордан
jordanian	?:иорданский
joseon	?:Чосо́н
joseph	?:Иосиф
josephine	?:Джо́зефин
josephite	?:иосифля́нин
josh	?:подшучивать
joshua	?:Иисус
josiah	?:Ио́сия
jostle	?:да́вка
jot	?:йо́та
jotun	?:ётун
joule	?:джо́уль
journal	?:дневни́к
journalism	?:журналистика
journalist	?:репортёр
journalistic	?:журналистский
journey	?:воя́ж
journeyman	?:подмасте́рье
joust	?:турни́р
jousting	?:поединок
jovial	?:весёлый
jowl	?:че́люсть
joy	?:радость
joyce	?:Джойс
joycean	?:джо́йсовский
joyful	?:весёлый
joyfulness	?:радость
joyous	?:радостный
joystick	?:джо́йстик
jpeg	?:жи́пег
jpegged	?:жипегнуто
jsc	?:АО
jsdf	?:си́лы самооборо́ны
juba	?:Джу́ба
jubilant	?:ликующий
jubilarian	?:юбиля́р
jubilation	?:ликова́ние
jubilee	?:юбиле́й
juche	?:чучхе́
judaeo-spanish	?:евре́йско-испа́нский
judah	?:Иу́да
judaic	?:евре́йский
judaism	?:иудаизм
judaist	?:иуде́й
judaization	?:евреиза́ция
judaize	?:евреизи́ровать
judas	?:Иуда
judder	?:дрожание
jude	?:Посла́ние Иу́ды
judea	?:Иудея
judeo-aramaic	?:еврейско-араме́йский
judeo-banderite	?:жидобандеровец
judeo-christian	?:иудейско-христианский
judeo-masonic	?:жидомасо́нский
judeo-tat	?:го́рско-евре́йский
judge	?:судья
judges	?:Книга Судей Израилевых
judgment	?:осужде́ние
judicial	?:суде́бный
judiciary	?:суде́бная власть
judicious	?:рассудительный
judiciously	?:рассуди́тельно
judith	?:Юдифь
judo	?:дзюдо
judoka	?:дзюдо́ка
juewa	?:Жуйхуа
jug	?:кувши́н
jug-eared	?:лопоу́хий
juggernaut	?:джаггерна́ут
juggle	?:жонглировать
juggler	?:жонглёр
juggling	?:жонглёрство
jughashvili	?:Джугашви́ли
jugular	?:ше́йный
juice	?:сок
juicer	?:соковыжима́лка
juicy	?:сочный
jujitsu	?:джиу-джи́тсу
jujube	?:уна́би
juke	?:бар
jukebox	?:проигрыватель-автомат
jules	?:Жюль
julia	?:Джу́лия
julian	?:юлиа́нский
juliana	?:Юлиа́на
julienne	?:жулье́н
juliet	?:Джулье́тта
julius	?:Юлий
july	?:июль
jumble	?:смешать
jumbo	?:гига́нтский
jump	?:спрыгнуть
jumper	?:прыгу́н
jun	?:чон
junco	?:юнко
junction	?:перекрёсток
juncture	?:стык
june	?:июнь
juneau	?:Джуно
jungle	?:джунгли
junior	?:мла́дший
juniper	?:можжевельник
junk	?:хлам
junket	?:веселиться
junkie	?:люби́тель
junkman	?:старьёвщик
junkyard	?:сва́лка
juno	?:Юно́на
junta	?:ху́нта
jupiter	?:Юпитер
jura	?:Юра
jurassic	?:ю́ра
jurchen	?:чжуржэнь
jurisdiction	?:юрисди́кция
jurisdictionalism	?:юрисдикционализм
jurisprudence	?:законове́дение
jurist	?:юрист
juror	?:прися́жная
jury	?:присяжный
jury-rig	?:сде́лать
jury-rigged	?:импровизированный
jussive	?:юсси́в
just	?:лишь
justice	?:справедливость
justification	?:оправда́ние
justified	?:опра́вданный
justify	?:объясни́ть
justin	?:Джа́стин
justine	?:Джасти́н
justitia	?:Юстиция
justly	?:справедли́во
jut	?:вы́ступ
jute	?:ют
jutland	?:Ютла́ндия
juvenile	?:малоле́тний
juxtalinear	?:подстро́чный
juxtapose	?:сопоставлять
juxtaposition	?:бли́зость
juz	?:Джуз
jyutping	?:ютпхи́н
jyväskylä	?:Ю́вяскюля
jägermeister	?:егерме́йстер
jörmungandr	?:Ёрмунганд
jēkabpils	?:Екабпилс
jūrmala	?:Ю́рмала
k	?:(baseball) Abbreviation of
k-drama	?:К-[[дра́ма]]
k-pop	?:кей-по́п
k2	?:К2
kaaba	?:Ка́аба
kabaragoya	?:полоса́тый вара́н
kabarda	?:кабарди́нец
kabardia	?:Кабарда́
kabardian	?:кабарди́нский
kabardino-balkaria	?:Кабардино-Балкарская Республика
kabbalah	?:Каббала́
kaboom	?:бум
kabuki	?:кабуки
kabul	?:Кабул
kabuto	?:кабу́то
kabyle	?:кабильский
kabylia	?:Кабилия
kachin	?:Качин
kaddish	?:кадиш
kadiivka	?:Ка́диевка
kadyivka	?:Кадиевка
kadyrovite	?:кадыровец
kaffir	?:кафр
kafir	?:гяу́р
kafka	?:Ка́фка
kafkaesque	?:кафкиа́нский
kaftan	?:кафтан
kagawa	?:Кага́ва
kagoshima	?:Кагоси́ма
kagu	?:ка́гу
kagutsuchi	?:Кагуцу́ти
kaharlyk	?:Кагарлы́к
kahlúa	?:Калу́а
kahramanmaraş	?:Кахраманмара́ш
kailan	?:гайла́нь
kaisa	?:ка́йса
kaiser	?:ка́йзер
kaizen	?:кайдзе́н
kaj	?:кадж
kajaani	?:Каяани
kaji	?:кадж
kakapo	?:какапо́
kakheti	?:Кахетия
kakhovka	?:Кахо́вка
kakistocracy	?:какистокра́тия
kalach	?:кала́ч
kaladze	?:Кала́дзе
kalahari	?:Калаха́ри
kalanchoe	?:каланхо́е
kalash	?:Калаши
kalashnikov	?:АК-47
kalbi	?:га́льби
kalderash	?:кэлдэрарски́й
kale	?:браунко́ль
kaleidoscope	?:калейдоскоп
kalevala	?:Ухта
kali	?:Ка́ли
kalima	?:кали́ма
kalinin	?:Кали́нин
kaliningrad	?:Калининград
kalmiuske	?:Ка́льмиусское
kalmyk	?:калмыцкий
kalmykia	?:Калмыкия
kalokagathia	?:калокага́тия
kaluga	?:Калу́га
kalush	?:Ка́луш
kalyan-dombivali	?:Калья́н-Домби́вли
kalynivka	?:Кали́новка
kama	?:Ка́ма
kamala	?:Ка́мала
kamancheh	?:кеманча́
kamarupa	?:Камарупа
kamassian	?:камасинский
kamba	?:ка́мба
kamchadal	?:камчада́л
kamchatka	?:Камча́тка
kamchatkan	?:камча́тский
kamianets-podilskyi	?:Кáменец-Подо́льский
kamianka	?:Ка́менка
kamianka-buzka	?:Ка́менка-Бу́зкая
kamianka-dniprovska	?:Ка́менка-Днепро́вская
kamianske	?:Каменское
kamikaze	?:камика́дзе
kamin-kashyrskyi	?:Ка́мень-Каши́рский
kamora	?:камо́ра
kampala	?:Кампа́ла
kampuchea	?:Кампучи́я
kamyshlov	?:Камышлов
kan	?:Кан
kana	?:ка́на
kanagawa	?:Канага́ва
kanak	?:кана́к
kanaka	?:кана́к
kanazawa	?:Канадза́ва
kandahar	?:Кандага́р
kandalaksha	?:Кандала́кша
kangaroo	?:кенгуру
kangchenjunga	?:Канченджанга
kango	?:канго́
kaniv	?:Ка́нев
kanji	?:кандзи
kannada	?:ка́ннада
kanpur	?:Канпу́р
kansas	?:Ка́нзас
kant	?:Кант
kantianism	?:кантиа́нство
kanuri	?:канури
kaohsiung	?:Гаосю́н
kaoliang	?:гаоля́н
kaolin	?:каоли́н
kaolinite	?:каолини́т
kaon	?:као́н
kapampangan	?:капампанганский
kapan	?:Капа́н
kaph	?:каф
kapo	?:капо́
kapok	?:капо́к
kappa	?:ка́ппа
kaput	?:капу́т
karabakh	?:Караба́х
karabakhian	?:карабахский
karachay-balkar	?:карача́ево-балка́рский
karachay-cherkessia	?:Карачаево-Черкесия
karachev	?:Кара́чев
karachi	?:Карачи
karaganda	?:Караганда́
karaite	?:караи́м
karaj	?:Кере́дж
karakalpak	?:каракалпа́кский
karakalpakstan	?:Каракалпа́кия
karakul	?:кара́куль
karamay	?:Карамай
karaoke	?:караоке
karata	?:карати́нский
karatau	?:Каратау
karate	?:каратэ
karateist	?:карати́ст
karateka	?:карати́ст
karbala	?:Кербела
kardashian	?:Кардашя́н
kare	?:Каре
karelia	?:Карелия
karelian	?:карельский
karen	?:тупая пизда
kargil	?:Каргил
karlivka	?:Ка́рловка
karlovac	?:Ка́рловац
karlsson	?:Ка́рлсон
karluk	?:карлук
karma	?:карма
karmic	?:карми́ческий
karnataka	?:Карна́така
karnay	?:карна́й
karoshi	?:каро́си
karpas	?:карпа́с
karst	?:Крас
karting	?:картинг
kartvelian	?:картвельский
karuk	?:каро́к
karyogram	?:кариогра́мма
karyotype	?:кариоти́п
kasha	?:ка́ша
kashgar	?:Кашга́р
kashgari	?:кашга́рский
kashida	?:каши́да
kashkaval	?:кашкавал
kashmir	?:Кашмир
kashmiri	?:кашми́рский
kashrut	?:кашру́т
kashubia	?:Кашу́бия
kashubian	?:кашу́бский
kasra	?:ка́сра
katabatic	?:нисходящий
katakana	?:ката́кана
katal	?:катал
katana	?:катана
katharevousa	?:кафаре́вуса
kathisma	?:кафи́зма
kathmandu	?:Катманду
kathoey	?:като́й
katogo	?:катого
katorga	?:ка́торга
katori	?:Катори
katowice	?:Катови́це
kattegat	?:Ка́ттегат
katya	?:Ка́тя
katyayana	?:Катьяяна
katyusha	?:катю́ша
kaunas	?:Каунас
kava	?:ка́ва
kavadarci	?:Кава́дарци
kavala	?:Кавала
kavaratti	?:Кавара́тти
kawaii	?:кава́йный
kawaiily	?:кава́йно
kawaiiness	?:кава́ий
kawasaki	?:Каваса́ки
kawi	?:кави
kay	?:ка
kayak	?:каяк
kaymak	?:кайма́к
kayseri	?:Ка́йсери
kazakh	?:казахский
kazakhization	?:казахизация
kazakhize	?:казахизировать
kazakhstan	?:Казахстан
kazakhstani	?:казахста́нский
kazan	?:Казань
kazbek	?:Казбе́к
kazoo	?:казу́
kazym	?:Казы́м
kea	?:ке́а
keats	?:Китс
kebab	?:кеба́б
kebnekaise	?:Ке́бнекайсе
kechror	?:Кечрор
kecskemét	?:Ке́чкемет
ked	?:кровососка
kedah	?:Кеда́х
keel	?:киль
keelboat	?:[[килево́е]] [[су́дно]]
keelson	?:кильсо́н
keelung	?:Цзилу́н
keen	?:острый
keep	?:цитаде́ль
keeper	?:охра́нник
keepsake	?:сувени́р
keffiyeh	?:куфи́я
kefir	?:кефир
keftedes	?:кефтедес
keg	?:бочо́нок
keijō	?:Кэйдзё
keiki	?:кеики
keirin	?:кейрин
keister	?:я́годицы
kek	?:кек
kelantan	?:Кела́нтан
kelly	?:Келли
kelmentsi	?:Ке́льменцы
kelowna	?:Кело́уна
kelp	?:ламина́рия
kelpie	?:ке́лпи
kelvin	?:кельвин
kemalism	?:кемали́зм
kemalist	?:кемали́стский
kemerovo	?:Кемерово
kemi	?:Кеми
ken	?:знать
kendhang	?:генданг
kendo	?:кэндо́
kenesa	?:кена́сса
kennedy	?:Ке́ннеди
kennel	?:бу́дка
kenneth	?:Ке́ннет
kenning	?:ке́ннинг
kent	?:Кент
kentucky	?:Кентукки
kenya	?:Кения
kenyan	?:кенийский
keosayan	?:Кеосаян
kepi	?:ке́пи
kerala	?:Кера́ла
keramik	?:Кера́мик
keratin	?:керати́н
keratitis	?:керати́т
keratoconus	?:кератоконус
kerb	?:бордю́р
kerberos	?:Ке́рбер
kerch	?:Керчь
kerchief	?:косы́нка
kerf	?:зару́бка
kerfing	?:[[ко́нтробечайка]] с [[пропил|пропи́лами]]
kerfuffle	?:сумато́ха
kerkorian	?:Керкорян
kermanshah	?:Керманша́х
kernel	?:суть
kerosene	?:кероси́н
kerr	?:Керр
kerry	?:Ке́рри
kerygma	?:ке́ригма
kestrel	?:пустельга́
ket	?:[[ке́тский]] [[язы́к]]
ketamine	?:кетамин
ketch	?:кеч
ketchup	?:кетчуп
ketone	?:кето́н
ketose	?:кето́за
kettle	?:котёл
kettlebell	?:ги́ря
kettledrum	?:лита́вра
kevin	?:Ке́вин
key	?:ключ
keyboard	?:клавиатура
keyboardist	?:клавишник
keychain	?:брело́к
keygen	?:кейген
keyhole	?:замочная скважина
keynes	?:Кейнс
keynesianism	?:кейнсиа́нство
keypad	?:цифрова́я клавиату́ра
keyring	?:брело́к
keystone	?:замо́к
keystroke	?:[[нажа́тие]] [[клавиша|кла́виш(и)]]
keyword	?:ключевое слово
kezhkepat	?:Кежкепат
kfssr	?:КФССР
kgb	?:КГБ
khabarovsk	?:Хабаровск
khachapuri	?:хачапури
khachatryan	?:Хачатря́н
khachiyan	?:Хачия́н
khachkar	?:хачка́р
khagan	?:кага́н
khaganate	?:кагана́т
khakas	?:хака́сский
khakassia	?:Хакасия
khaki	?:ха́ки
khalaj	?:хала́джский
khalat	?:хала́т
khaltura	?:халту́ра
kham	?:Кам
khamenei	?:Хаменеи́
khan	?:хан
khananda	?:ханенде
khanate	?:ханство
khanbalik	?:Ханбалы́к
khanjar	?:кинжа́л
khankendi	?:Ханкенди́
khantia-mansia	?:Ха́нты-Ма́нсия
khanty	?:хант
khanty-mansiysk	?:Ха́нты-Манси́йск
kharkhorin	?:Хархорин
kharkiv	?:Харьков
kharkivian	?:ха́рьковский
kharkivite	?:харьковчанин
khartoum	?:Хартум
khartsyzk	?:Харцы́зск
khasansky	?:Хаса́нский райо́н
khash	?:хаш
khashoggi	?:Хашукджи
khat	?:кат
khata	?:Хада́к
khatsyetava	?:Хоте́тово
khazar	?:хаза́рский
khazaria	?:Хаза́рия
khedive	?:хеди́в
khedivial	?:хеди́вский
kherlen	?:Керулен
kherson	?:Херсон
khersonite	?:херсо́нский
khevsureti	?:Хевсурети
khinalug	?:хыналу́гец
khinkali	?:хинкали
khitan	?:кида́ньский
khiva	?:Хива́
khmelnytskyi	?:Хмельни́цкий
khmer	?:кхме́рский
khmilnyk	?:Хмельни́к
khodoriv	?:Хо́доров
khodorkovsky	?:Ходорко́вская
khojaly	?:Ходжалы́
khokhol	?:хохол
kholop	?:холо́п
khomeini	?:Хомейни́
khorasan	?:Хораса́н
khorgas	?:Хо́ргас
khorol	?:Хоро́л
khorostkiv	?:Хоростков
khorovod	?:караго́д
khorramshahr	?:Хорремшехр
khotanese	?:хотаносакский
khotetova	?:Хоте́това
khotetovo	?:Хоте́тово
khotyn	?:Хоти́н
khovd	?:Ховд
khrestivka	?:Кре́стовка
khrushchev	?:Хрущёв
khrushchevian	?:хрущёвский
khrushchevka	?:хрущоба
khrustalnyi	?:Хруста́льный
khrystynivka	?:Христи́новка
khudykivtsi	?:Худыковцы
khujand	?:Ленинаба́д
khulna	?:Кху́лна
khural	?:хура́л
khust	?:Хуст
khutbah	?:ху́тба
khutor	?:ху́тор
khuushuur	?:хушу́р
khuzdar	?:Хуздар
khuzestan	?:Хузеста́н
khyriv	?:Хы́ров
kibble	?:дроби́ть
kibbutz	?:кибуц
kibbutznik	?:кибу́цник
kibibyte	?:кибиба́йт
kibitka	?:киби́тка
kibitz	?:совет
kibitzer	?:надое́да
kick	?:пнуть
kick-ass	?:выёбистый
kick-off	?:старт
kickback	?:отка́т
kickboxer	?:кикбо́ксер
kickboxing	?:кикбоксинг
kicker	?:подвох
kicksled	?:са́нки
kickstand	?:подно́жка
kid	?:ребёнок
kidnap	?:красть
kidnapper	?:похити́тель
kidnapping	?:кидне́ппинг
kidney	?:почка
kidskin	?:ла́йка
kielbasa	?:колбаса́
kielce	?:Кельце
kierkegaardian	?:кьеркего́ровский
kigali	?:Кига́ли
kihnu	?:Кихну
kike	?:жид
kikimora	?:кики́мора
kikuyu	?:кикуйю
kildare	?:Ки́лдэр
kilgore	?:Ки́лгор
kiliia	?:Килия́
